USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root             10934   0.0  0.2 410328880  15200   ??  Ss    1:25PM   0:00.32 /usr/libexec/PowerUIAgent
jinurung         10932   0.0  1.0 1623874096  80112   ??  S     1:24PM   0:04.77 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1690 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1296404008547 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=168
jinurung         10928   0.0  0.2 410335200  14784   ??  S     1:24PM   0:00.15 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
jinurung         10927   0.0  0.1 410327280   4464   ??  S     1:24PM   0:00.10 /System/Library/CoreServices/ScopedBookmarkAgent
jinurung         10925   0.0  0.2 410353024  20400   ??  S     1:24PM   0:00.78 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
jinurung         10920   0.0  0.2 410335120  13808   ??  S     1:24PM   0:00.23 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
jinurung         10903   0.0  0.2 410340544  16000   ??  S     1:24PM   0:01.74 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
_assetcache      10889   0.0  0.1 410328256   7952   ??  Ss    1:24PM   0:00.09 /usr/libexec/AssetCache/AssetCache
jinurung         10879   0.0  0.2 410326960  13504   ??  S     1:24PM   0:00.55 /usr/libexec/MTLAssetUpgraderD
jinurung         10873   0.0  0.1 410327888  10288   ??  S     1:24PM   0:00.18 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
root             10872   0.0  0.0 411074736   3712   ??  Ss    1:24PM   0:00.04 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root             10871   0.0  0.1 410233120   4688   ??  Ss    1:24PM   0:00.03 /usr/libexec/sandboxd
_locationd       10868   0.0  0.0 410344576   3712   ??  S     1:24PM   0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_cmiodalassistants 10869   0.0  0.0 410326144   3696   ??  S     1:24PM   0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_cmiodalassistants 10866   0.0  0.1 410356592   5792   ??  S     1:24PM   0:00.18 /usr/libexec/trustd --agent
jinurung         10858   0.0  0.2 410371536  19616   ??  S     1:24PM   0:00.49 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
jinurung         10855   0.0  0.1 410372912   7280   ??  S     1:24PM   0:00.37 /usr/libexec/secinitd
jinurung         10851   0.0  0.3 410352608  21488   ??  S     1:24PM   0:01.43 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
jinurung         10850   0.0  0.1 410293984   7152   ??  S     1:24PM   0:00.04 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
jinurung         10849   0.0  0.2 410343632  15664   ??  S     1:24PM   0:00.32 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
jinurung         10830   0.0  2.4 410860016 201040   ??  S    12:20PM   0:02.01 /Users/jinurung/.vscode/extensions/ms-vscode.cpptools-1.21.6-darwin-arm64/bin/cpptools-srv 86910 {C1B5D211-0482-CC46-8460-AEDFB849E066}
jinurung         10439   0.0  1.6 1623603632 137392   ??  S    12:18PM   0:07.78 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --pdf-renderer --lang=ko --js-flags=--jitless --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1689 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1296249029801 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=163
jinurung         10433   0.0  0.2 410371984  14416   ??  S    12:18PM   0:00.31 /usr/libexec/pkd
jinurung         10432   0.0  0.1 410876544  11808   ??  S    12:18PM   0:00.25 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
jinurung         10428   0.0  0.2 410330864  14656   ??  Ss   12:18PM   0:00.86 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
jinurung         10424   0.0  0.2 410377856  14368   ??  S    12:17PM   0:00.71 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
jinurung         10422   0.0  0.2 410340624  16032   ??  S    12:17PM   0:00.17 /usr/libexec/bluetoothuserd
root             10416   0.0  0.0 410294560   4112   ??  Ss   12:17PM   0:00.07 /usr/libexec/securityd_system
jinurung         10021   0.0  0.2 410335600  15152   ??  Ss   12:15PM   0:00.40 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
jinurung         10020   0.0  0.2 410374368  18176   ??  S    12:15PM   0:00.95 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
jinurung         10010   0.0  0.2 410367040  15536   ??  S    12:14PM   0:09.69 /usr/libexec/triald
root             10003   0.0  0.1 411616112  11104   ??  Ss   12:14PM   0:00.34 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
jinurung          9968   0.0  0.2 410355600  13584   ??  S    12:14PM   0:03.16 /usr/libexec/replayd
jinurung          7715   0.0  0.9 1621956560  73184   ??  S    12:13PM   0:00.26 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1687 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1295980436297 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=163
jinurung          7108   0.0  0.0 410858992   1712   ??  S    12:09PM   0:01.23 /Users/jinurung/.vscode/extensions/ms-vscode.cpptools-1.21.6-darwin-arm64/bin/cpptools-srv 86910 {3BB20088-0BB9-7842-A433-AC014A65A0AE}
jinurung          4818   0.0  0.8 1621974192  63056   ??  S    11:54AM   0:00.96 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1675 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1294833147747 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=146
jinurung          2927   0.0  1.2 1622283840  99408   ??  S    11:35AM   2:06.77 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1673 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1293920550179 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=199
root              2837   0.0  0.1 410345584  10848   ??  Ss   11:34AM   0:00.10 /System/Library/CoreServices/osanalyticshelper server-init
jinurung          2385   0.0  1.2 1623925008  97824   ??  S    11:28AM   0:12.52 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1668 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1293520577211 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=135
root             99627   0.0  0.2 410372672  13088   ??  Ss   10:54AM   0:18.24 /usr/libexec/coreduetd
jinurung         99350   0.0  0.1 410345104   6384   ??  S    10:51AM   0:00.12 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
root             99212   0.0  0.1 410632624   4352   ??  Ss   10:50AM   0:00.04 /usr/libexec/online-auth-agent
jinurung         99136   0.0  0.2 410382000  15712   ??  S    10:49AM   0:00.65 /usr/libexec/networkserviceproxy
_netbios         81252   0.0  0.1 410294720   5136   ??  SNs  10:11AM   0:00.21 /usr/sbin/netbiosd
_spotlight       52902   0.0  0.1 410331408   8832   ??  S     9:39AM   0:01.10 /usr/libexec/trustd --agent
jinurung         52822   0.0  1.0 1622008736  84288   ??  S     9:39AM   0:05.99 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --init-isolate-as-foreground --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1621 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1289185888991 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=135
root             52232   0.0  0.0 410298112   1616   ??  Ss    9:34AM   0:00.20 /usr/libexec/logd_helper
_driverkit       51808   0.0  0.0 410595008    176   ??  Ss    9:29AM   0:00.02 /System/Library/DriverExtensions/com.apple.DriverKit.AppleUserECM.dext/com.apple.DriverKit.AppleUserECM com.apple.DriverKit.AppleUserECM.data 0x10003cd0c com.apple.DriverKit.AppleUserECM
jinurung         51572   0.0  0.1 410329872  11984   ??  S    12:27AM   0:17.49 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
jinurung         51544   0.0  0.2 410373696  13488   ??  S    12:27AM   0:01.84 /usr/libexec/proactived
jinurung         50677   0.0  0.2 410380064  16704   ??  S    12:15AM   0:04.69 /usr/libexec/swcd
jinurung         50242   0.0  0.2 410377616  16944   ??  S    12:10AM   0:01.90 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
root             50168   0.0  0.1 410293952   5472   ??  Ss   12:09AM   0:00.31 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
jinurung         50148   0.0  0.2 410367024  15552   ??  S    12:09AM   0:01.53 /System/Library/CoreServices/audioaccessoryd
jinurung         50047   0.0  0.5 410746592  38864   ??  S    12:08AM   0:04.30 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
jinurung         47921   0.0  0.2 410365568  17408   ??  S    11:10PM   0:09.89 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
jinurung         47918   0.0  0.1 410363616   9936   ??  S    11:10PM   0:00.70 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_biome           47794   0.0  0.2 410363776  13504   ??  Ss   11:09PM   0:02.70 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
jinurung         47745   0.0  0.3 411364256  22144   ??  S    11:08PM   0:00.70 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
root             47738   0.0  0.0 410322896   3856   ??  Ss   11:08PM   0:00.77 /usr/libexec/usermanagerd -t 15
jinurung         47113   0.0  0.1 410487328  10672   ??  S    11:01PM   0:00.65 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Resources/FollowUpUI.app/Contents/MacOS/FollowUpUI
jinurung         46395   0.0  0.1 410368960   9152   ??  S    10:51PM   0:00.32 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
jinurung         45739   0.0  0.2 410377520  15792   ??  S    10:43PM   0:04.68 /usr/libexec/knowledge-agent
_fpsd            40635   0.0  0.0 410169648   3280   ??  Ss    9:39PM   0:00.79 /System/Library/PrivateFrameworks/CoreADI.framework/adid
jinurung         40634   0.0  0.2 410375744  15648   ??  S     9:39PM   0:02.31 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
jinurung         40632   0.0  0.1 410371712  11680   ??  S     9:39PM   0:00.48 /usr/libexec/neagent
jinurung         40625   0.0  0.1 410373136  12336   ??  S     9:39PM   0:07.31 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
root             40565   0.0  0.1 410378640  10752   ??  Ss    9:38PM   0:31.20 /usr/libexec/mobileassetd
jinurung         35229   0.0  0.2 1622201632  17984   ??  S     8:29PM   0:01.60 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1589 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1275991209428 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=156
jinurung         35208   0.0  0.2 1622002912  17424   ??  S     8:28PM   0:03.71 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1587 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1275975743076 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=228
jinurung         35187   0.0  0.4 1622048432  34752   ??  S     8:28PM   0:39.08 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1584 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1275963377633 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=228
jinurung         33572   0.0  0.4 1622011952  33344   ??  S     8:10PM   1:15.20 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1537 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1274865061402 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=156
jinurung         32766   0.0  0.1 1622017696  12336   ??  S     5:17PM   0:00.88 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1529 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1274455596572 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=213
jinurung         31318   0.0  0.7 1626026304  56336   ??  S     4:54PM   0:16.44 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1499 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1273529188944 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=128
root             27469   0.0  0.1 410354080   8960   ??  Ss    3:58PM   0:03.24 /usr/libexec/rtcreportingd
jinurung         27432   0.0  1.2 1622253680 102432   ??  S     3:56PM   1:30.16 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1375 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1270816617819 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=128
_audiomxd        25951   0.0  0.1 410821248   6368   ??  Ss    2:56PM   0:01.65 /usr/libexec/audiomxd
root             25934   0.0  0.1 410363200   6368   ??  Ss    2:56PM   0:00.89 /usr/libexec/nehelper
jinurung         21657   0.0  0.2 410385120  19408   ??  S    화11AM   0:30.95 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
jinurung         12488   0.0  0.1 410363008   4224   ??  S    화09AM   0:06.28 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
root             11279   0.0  0.1 410328512   6624   ??  Ss   화12AM   0:05.77 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
jinurung         11218   0.0  0.2 410371312  14528   ??  S    화12AM   0:04.74 /System/Library/PrivateFrameworks/HearingCore.framework/heard
jinurung         11080   0.0  0.2 410382000  13216   ??  S    화12AM   0:06.84 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
jinurung          6812   0.0  0.2 410587568  17280   ??  S    화12AM   0:10.67 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
jinurung         86952   0.0  0.1 1596749152  11888   ??  S    월09AM   0:11.89 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Applications/Visual Studio Code.app/Contents/Resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=86828
jinurung         86910   0.0  1.0 411346960  84720   ??  S    월09AM   8:46.10 /Users/jinurung/.vscode/extensions/ms-vscode.cpptools-1.21.6-darwin-arm64/bin/cpptools
jinurung         86828   0.0  0.9 1596797168  76240   ??  S    월09AM   1:55.91 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=ko --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --user-data-dir=/Users/jinurung/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,15652145216854992516,3360843098241021493,262144 --enable-features=ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma,kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
jinurung         86814   0.0  0.2 1596789360  19280   ??  S    월09AM   0:16.76 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=ko --service-sandbox-type=none --user-data-dir=/Users/jinurung/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,15652145216854992516,3360843098241021493,262144 --enable-features=ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma,kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
jinurung         86712   0.0  0.2 444000624  16384   ??  S    월09AM   0:13.88 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ko --service-sandbox-type=network --user-data-dir=/Users/jinurung/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,15652145216854992516,3360843098241021493,262144 --enable-features=ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma,kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version --seatbelt-client=35
jinurung         86710   0.0  0.0 443713760   2624   ??  S    월09AM   0:00.22 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/jinurung/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=578d8566-3844-4d97-90b6-5274c39f616d&iid=578d8566-3844-4d97-90b6-5274c39f616d&sid=578d8566-3844-4d97-90b6-5274c39f616d --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.92.1 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=30.1.2 --handshake-fd=22
jinurung         74397   0.0  0.2 1622077248  19552   ??  S    금09PM   0:13.18 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=18 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1140978142935 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=129
jinurung         74372   0.0  0.1 1622065712  12432   ??  S    금09PM   0:06.02 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=47 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1140960325335 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=129
jinurung         74370   0.0  0.7 1624187872  55312   ??  S    금09PM   0:47.22 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=46 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1140958365340 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=129
jinurung         74369   0.0  0.7 1624181568  55520   ??  S    금09PM   0:54.33 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=45 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1140956057646 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=129
